video_time,dataset_src,key,url,orig_span,video_id
10.0,vggsound,1WbvSHeHf5g_95,https://www.youtube.com/watch?v=1WbvSHeHf5g,"[""00:01:35.000"", ""00:01:45.000""]",1WbvSHeHf5g
10.0,vggsound,1Wcu3nfeUmU_30,https://www.youtube.com/watch?v=1Wcu3nfeUmU,"[""00:00:30.000"", ""00:00:40.000""]",1Wcu3nfeUmU
10.0,vggsound,1WdM3q7yyoo_2,https://www.youtube.com/watch?v=1WdM3q7yyoo,"[""00:00:02.000"", ""00:00:12.000""]",1WdM3q7yyoo
10.0,vggsound,1WdM3q7yyoo_37,https://www.youtube.com/watch?v=1WdM3q7yyoo,"[""00:00:37.000"", ""00:00:47.000""]",1WdM3q7yyoo
10.0,vggsound,1WeBcb6LPok_100,https://www.youtube.com/watch?v=1WeBcb6LPok,"[""00:01:40.000"", ""00:01:50.000""]",1WeBcb6LPok
10.0,vggsound,1WeD3graT0Q_4,https://www.youtube.com/watch?v=1WeD3graT0Q,"[""00:00:04.000"", ""00:00:14.000""]",1WeD3graT0Q
10.0,vggsound,1WfkN0b-ivo_287,https://www.youtube.com/watch?v=1WfkN0b-ivo,"[""00:04:47.000"", ""00:04:57.000""]",1WfkN0b-ivo
10.0,vggsound,1WfkN0b-ivo_374,https://www.youtube.com/watch?v=1WfkN0b-ivo,"[""00:06:14.000"", ""00:06:24.000""]",1WfkN0b-ivo
10.0,vggsound,1Wh1uT-xdYE_16,https://www.youtube.com/watch?v=1Wh1uT-xdYE,"[""00:00:16.000"", ""00:00:26.000""]",1Wh1uT-xdYE
10.0,vggsound,1Wi9AlhuIoI_0,https://www.youtube.com/watch?v=1Wi9AlhuIoI,"[""00:00:00.000"", ""00:00:10.000""]",1Wi9AlhuIoI
10.0,vggsound,1WlQov-jsTU_120,https://www.youtube.com/watch?v=1WlQov-jsTU,"[""00:02:00.000"", ""00:02:10.000""]",1WlQov-jsTU
10.0,vggsound,1WmrPyLvO44_0,https://www.youtube.com/watch?v=1WmrPyLvO44,"[""00:00:00.000"", ""00:00:10.000""]",1WmrPyLvO44
10.0,vggsound,1Wnb3kLSVvU_76,https://www.youtube.com/watch?v=1Wnb3kLSVvU,"[""00:01:16.000"", ""00:01:26.000""]",1Wnb3kLSVvU
10.0,vggsound,1Wnb3kLSVvU_104,https://www.youtube.com/watch?v=1Wnb3kLSVvU,"[""00:01:44.000"", ""00:01:54.000""]",1Wnb3kLSVvU
