FspTOhbXCSg,543,crow cawing,train
Fsu8KjtWhPo,3,cat caterwauling,test
Fsu8KjtWhPo,79,cat caterwauling,test
FsvHHQj25d8,520,people crowd,train
FswqfqkrXZU,60,"vehicle horn, car horn, honking",train
FsywuRmOMTM,30,playing acoustic guitar,test
FszF6jEDIEY,9,chipmunk chirping,train
FszF6jEDIEY,19,chipmunk chirping,train
FszIzkuAyHo,28,penguins braying,test
Ft1D6PR0OaI,270,"rowboat, canoe, kayak rowing",train
Ft1Zct6-7R4,30,people shuffling,train
Ft5AhiXxAkg,10,toilet flushing,train
Ft699oPlwlI,142,"electric shaver, electric razor shaving",train
Ft8RE2cWh8I,32,playing cornet,train
Ft93ncEBpGo,184,sharpen knife,train
Ft93ncEBpGo,360,sharpen knife,train
Ft9UDWK2eco,40,playing cymbal,train
Ft9eIN-nR-g,80,chicken clucking,train
FtAaGph9EtI,30,"engine accelerating, revving, vroom",train
FtCT62fiyrU,270,church bell ringing,train
FtCnsSABtrk,20,playing synthesizer,train
FtCslvCjZEY,321,dinosaurs bellowing,train
FtCslvCjZEY,434,dinosaurs bellowing,train
FtCwOCYD7PA,30,"pigeon, dove cooing",train
FtE3hoR_Nvo,141,playing oboe,train
FtE3hoR_Nvo,168,playing oboe,train
FtEA5cvPvXA,194,bowling impact,train
FtEA5cvPvXA,315,bowling impact,train
FtGm8j4ZyR0,30,sloshing water,train
FtGy2uCLm5c,80,chainsawing trees,train
FtISDTfJYRs,359,mouse clicking,train
FtISDTfJYRs,388,mouse clicking,train
FtJQ7sKnrDw,310,people whispering,train
FtJeg3UQXLQ,7,"pigeon, dove cooing",train
FtK_vfp8po8,95,rapping,train
FtK_vfp8po8,117,rapping,train
FtMMI4lZu1c,60,ocean burbling,train
FtMYV7rCPTs,320,playing cello,train
FtMmodEpiAo,195,hair dryer drying,train
FtMmodEpiAo,259,hair dryer drying,train
FtN47uUQkCk,26,helicopter,train
FtNV_Gq62l8,19,cat meowing,train
FtNcPlOhcUc,30,"motorboat, speedboat acceleration",train
FtTWH5ouBj0,7,goat bleating,train
FtTWH5ouBj0,18,goat bleating,train
FtUCIJTwf4Y,70,people crowd,train
FtXNnmifbhE,23,"heart sounds, heartbeat",train
FtZadU1ryg8,30,"rowboat, canoe, kayak rowing",train
FtaNjbhGfdI,139,yodelling,train
FtaNjbhGfdI,175,yodelling,train
Ftap_CMYlfc,327,playing oboe,test
Ftbw_tvEi4I,30,playing harpsichord,train
FtcXVtUmr7U,30,"race car, auto racing",train
Fte4BIeEzLU,19,people sneezing,train
FtejDp6DmkQ,0,gibbon howling,train
FtejDp6DmkQ,22,gibbon howling,train
FthB-LVO1qw,60,"playing marimba, xylophone",train
FtiArHL5C7k,383,typing on typewriter,train
Ftk0nQ6FBO4,10,bird wings flapping,test
FtoX5tmMPzM,37,baby babbling,train
FtoX5tmMPzM,47,baby babbling,train
Ftok14M5p8g,158,sea waves,train
FtonyiATDiQ,30,driving buses,train
FtrY03JTPL4,149,planing timber,train
FtxMYbRRyAk,14,airplane flyby,train
FtyeRNitDN8,10,playing double bass,train
Fu-avka_bQ8,49,dog whimpering,train
Fu-avka_bQ8,59,dog whimpering,train
