1WBpkxq47-E,11,playing mandolin,train
1WBwDHUdLOk,48,roller coaster running,train
1WBwDHUdLOk,117,roller coaster running,train
1WCxPKkqFoM,30,"rowboat, canoe, kayak rowing",train
1WGfcIOLUK8,30,dog barking,test
1WHEXqTU8ts,70,playing drum kit,train
1WI9921OeRc,570,people burping,test
1WIXpipiyrY,180,"rowboat, canoe, kayak rowing",train
1WKBiiLLMnw,30,playing bass guitar,train
1WLMVX_Y2Pk,18,elephant trumpeting,test
1WLMVX_Y2Pk,213,elephant trumpeting,test
1WNEDlCcBCQ,240,dog whimpering,train
1WO1tg3-cD0,45,air conditioning noise,train
1WRx5JqaCy0,27,playing electric guitar,train
1WU5LO1iuAo,30,playing accordion,train
1WVZlkIu4DQ,27,bowling impact,train
1WVuvMIKi7o,50,dog barking,train
1WWPdIr91b8,0,dog barking,train
1WY3k28eU7U,320,church bell ringing,train
1WYMOua6Bj4,80,thunder,train
1WYdFCWFrIY,230,playing bagpipes,train
1WZGUCS0Xwc,127,playing congas,train
1WZGUCS0Xwc,142,playing congas,train
1WaTnza9cn0,160,"playing violin, fiddle",train
1WbK1jdVzsM,510,people whispering,train
1WbvSHeHf5g,45,pheasant crowing,train
1WbvSHeHf5g,95,pheasant crowing,train
1Wcu3nfeUmU,30,machine gun shooting,train
1WdM3q7yyoo,2,playing timbales,train
1WdM3q7yyoo,37,playing timbales,train
1WeBcb6LPok,100,playing saxophone,train
1WeD3graT0Q,4,people sneezing,train
1WfkN0b-ivo,287,rope skipping,train
1WfkN0b-ivo,374,rope skipping,train
1Wh1uT-xdYE,16,cheetah chirrup,train
1Wi9AlhuIoI,0,"alligators, crocodiles hissing",train
1WlQov-jsTU,120,playing bass guitar,train
1WmrPyLvO44,0,playing bagpipes,train
1Wnb3kLSVvU,76,rope skipping,train
1Wnb3kLSVvU,104,rope skipping,train
1WrYbtPP4_A,3,canary calling,train
1WvGlDdS-gU,10,playing clarinet,train
1WxrdEOqosM,29,playing vibraphone,train
1WxrdEOqosM,225,playing vibraphone,train
1WyR9xSPKSg,30,female singing,train
1WzI9RX3CnE,290,"subway, metro, underground",train
1WzPkjvMjsw,274,singing bowl,train
1WzQK96wnMU,68,metronome,train
1WzQK96wnMU,87,metronome,train
1X-0X1gbZvM,30,horse clip-clop,train
1X4XvMlrOiE,30,playing piano,train
1X4YCoWwSXM,30,female singing,train
1X5JrJwNOZw,30,horse clip-clop,train
1X6dpwrR2ik,35,baltimore oriole calling,train
1X6dpwrR2ik,54,baltimore oriole calling,train
1X7xYiJBaow,260,chicken crowing,train
1XAkMV93_IE,30,playing acoustic guitar,train
1XB48I9wMTM,30,male singing,train
1XBwXlE0ipA,15,playing timbales,train
1XBwXlE0ipA,43,playing timbales,train
1XBz00U_pv0,180,playing piano,train
1XEyi4UWh-k,267,pheasant crowing,train
1XEyi4UWh-k,379,pheasant crowing,train
1XIZ3SKIKAk,79,people battle cry,train
1XL_bMRIbXc,66,cat meowing,train
1XLavdLvIoc,30,"male speech, man speaking",train
1XMow1fnsPM,120,fireworks banging,train
1XO-VI3a0z8,30,"female speech, woman speaking",train
1XO0SqsZhHU,30,raining,test
1XOf8RdxvKk,30,male singing,train
1XP6t4NAMls,70,church bell ringing,train
1XP6t4NAMls,78,church bell ringing,train
1XPUXTJXgGU,52,baltimore oriole calling,train
1XPUXTJXgGU,68,baltimore oriole calling,train
1XSDiUmmJYA,10,playing bagpipes,train
1XS_cQPnNes,552,forging swords,train
1XS_cQPnNes,606,forging swords,train
1XTuTGf7cW0,221,playing bugle,train
1XTuTGf7cW0,444,playing bugle,train
1XU1bh62Wzg,30,male singing,train
1XUIa_Do8qk,0,playing cymbal,train
1XZHJgCwJ3w,30,"female speech, woman speaking",train
1XZv1BKL9Hw,694,lathe spinning,train
1XZyIaJT8Lw,106,snake hissing,test
1X_CdapGDbg,0,running electric fan,train
1XaDmkM-AAw,150,playing banjo,train
1Xb0ALz4De4,35,playing congas,train
1Xb0ALz4De4,64,playing congas,train
1XdIchC_4Cc,120,skateboarding,train
1XgdKTfy1Pw,4,playing glockenspiel,train
1XgdKTfy1Pw,15,playing glockenspiel,train
1XgvbqMmOjU,120,skidding,train
1XiT-9mAj4E,10,ambulance siren,train
1XjF-t2wvq4,330,"playing marimba, xylophone",train
1Xjn22L0jVU,10,"child speech, kid speaking",train
1XjwssJT_ok,25,playing timpani,train
1Xmw9VUzvLY,150,people coughing,test
1Xnx7lS2OgU,30,playing acoustic guitar,train
1XoHUTAzeG4,31,playing bass guitar,train
1XpJzqPCi2s,147,playing flute,train
1XqqTvgOpio,30,female singing,train
1XtRmOTjPIw,6,car engine knocking,train
1XtRmOTjPIw,33,car engine knocking,train
1XtnAQnS91c,6,hail,train
1XtnAQnS91c,17,hail,train
