video_time,dataset_src,key,url,orig_span,video_id
10.0,vggsound,ZWmr1jiqM0o_3,https://www.youtube.com/watch?v=ZWmr1jiqM0o,"[""00:00:03.000"", ""00:00:13.000""]",ZWmr1jiqM0o
10.0,vggsound,ZWnpVECkNHo_56,https://www.youtube.com/watch?v=ZWnpVECkNHo,"[""00:00:56.000"", ""00:01:06.000""]",ZWnpVECkNHo
10.0,vggsound,ZWnpVECkNHo_71,https://www.youtube.com/watch?v=ZWnpVECkNHo,"[""00:01:11.000"", ""00:01:21.000""]",ZWnpVECkNHo
10.0,vggsound,ZWnxnTZMRSM_30,https://www.youtube.com/watch?v=ZWnxnTZMRSM,"[""00:00:30.000"", ""00:00:40.000""]",ZWnxnTZMRSM
10.0,vggsound,ZWpEbIXZS_Q_40,https://www.youtube.com/watch?v=ZWpEbIXZS_Q,"[""00:00:40.000"", ""00:00:50.000""]",ZWpEbIXZS_Q
10.0,vggsound,ZWpT32fpF5c_350,https://www.youtube.com/watch?v=ZWpT32fpF5c,"[""00:05:50.000"", ""00:06:00.000""]",ZWpT32fpF5c
10.0,vggsound,ZWpuL56U4Ec_39,https://www.youtube.com/watch?v=ZWpuL56U4Ec,"[""00:00:39.000"", ""00:00:49.000""]",ZWpuL56U4Ec
10.0,vggsound,ZWrSxSlwBH0_129,https://www.youtube.com/watch?v=ZWrSxSlwBH0,"[""00:02:09.000"", ""00:02:19.000""]",ZWrSxSlwBH0
10.0,vggsound,ZWrSxSlwBH0_178,https://www.youtube.com/watch?v=ZWrSxSlwBH0,"[""00:02:58.000"", ""00:03:08.000""]",ZWrSxSlwBH0
10.0,vggsound,ZWvKHD9DmWg_162,https://www.youtube.com/watch?v=ZWvKHD9DmWg,"[""00:02:42.000"", ""00:02:52.000""]",ZWvKHD9DmWg
10.0,vggsound,ZWw4FMPKcxw_26,https://www.youtube.com/watch?v=ZWw4FMPKcxw,"[""00:00:26.000"", ""00:00:36.000""]",ZWw4FMPKcxw
10.0,vggsound,ZWw4FMPKcxw_37,https://www.youtube.com/watch?v=ZWw4FMPKcxw,"[""00:00:37.000"", ""00:00:47.000""]",ZWw4FMPKcxw
10.0,vggsound,ZX1dMkLRnk0_50,https://www.youtube.com/watch?v=ZX1dMkLRnk0,"[""00:00:50.000"", ""00:01:00.000""]",ZX1dMkLRnk0
10.0,vggsound,ZX2fVPmUidA_30,https://www.youtube.com/watch?v=ZX2fVPmUidA,"[""00:00:30.000"", ""00:00:40.000""]",ZX2fVPmUidA
10.0,vggsound,ZX3cWUG1njg_59,https://www.youtube.com/watch?v=ZX3cWUG1njg,"[""00:00:59.000"", ""00:01:09.000""]",ZX3cWUG1njg
10.0,vggsound,ZX8lB5p4CAQ_60,https://www.youtube.com/watch?v=ZX8lB5p4CAQ,"[""00:01:00.000"", ""00:01:10.000""]",ZX8lB5p4CAQ
10.0,vggsound,ZXDg02kHzPA_149,https://www.youtube.com/watch?v=ZXDg02kHzPA,"[""00:02:29.000"", ""00:02:39.000""]",ZXDg02kHzPA
10.0,vggsound,ZXE-4xWVMYE_60,https://www.youtube.com/watch?v=ZXE-4xWVMYE,"[""00:01:00.000"", ""00:01:10.000""]",ZXE-4xWVMYE
10.0,vggsound,ZXE4ZEORCIw_290,https://www.youtube.com/watch?v=ZXE4ZEORCIw,"[""00:04:50.000"", ""00:05:00.000""]",ZXE4ZEORCIw
10.0,vggsound,ZXE6d30pMbE_80,https://www.youtube.com/watch?v=ZXE6d30pMbE,"[""00:01:20.000"", ""00:01:30.000""]",ZXE6d30pMbE
