video_time,dataset_src,key,url,orig_span,video_id
10.0,vggsound,WIII-qJlDds_410,https://www.youtube.com/watch?v=WIII-qJlDds,"[""00:06:50.000"", ""00:07:00.000""]",WIII-qJlDds
10.0,vggsound,WIIRv-cdtI4_57,https://www.youtube.com/watch?v=WIIRv-cdtI4,"[""00:00:57.000"", ""00:01:07.000""]",WIIRv-cdtI4
10.0,vggsound,WIL20Cnep9U_13,https://www.youtube.com/watch?v=WIL20Cnep9U,"[""00:00:13.000"", ""00:00:23.000""]",WIL20Cnep9U
10.0,vggsound,WIL20Cnep9U_24,https://www.youtube.com/watch?v=WIL20Cnep9U,"[""00:00:24.000"", ""00:00:34.000""]",WIL20Cnep9U
10.0,vggsound,WINI7H_HV6s_281,https://www.youtube.com/watch?v=WINI7H_HV6s,"[""00:04:41.000"", ""00:04:51.000""]",WINI7H_HV6s
10.0,vggsound,WINI7H_HV6s_613,https://www.youtube.com/watch?v=WINI7H_HV6s,"[""00:10:13.000"", ""00:10:23.000""]",WINI7H_HV6s
10.0,vggsound,WIPpNQoZeKg_7,https://www.youtube.com/watch?v=WIPpNQoZeKg,"[""00:00:07.000"", ""00:00:17.000""]",WIPpNQoZeKg
10.0,vggsound,WIPpNQoZeKg_77,https://www.youtube.com/watch?v=WIPpNQoZeKg,"[""00:01:17.000"", ""00:01:27.000""]",WIPpNQoZeKg
10.0,vggsound,WIRfx01aCWU_102,https://www.youtube.com/watch?v=WIRfx01aCWU,"[""00:01:42.000"", ""00:01:52.000""]",WIRfx01aCWU
10.0,vggsound,WIRfx01aCWU_158,https://www.youtube.com/watch?v=WIRfx01aCWU,"[""00:02:38.000"", ""00:02:48.000""]",WIRfx01aCWU
10.0,vggsound,WISGJ7xOgp0_0,https://www.youtube.com/watch?v=WISGJ7xOgp0,"[""00:00:00.000"", ""00:00:10.000""]",WISGJ7xOgp0
10.0,vggsound,WIUTSPUQXB4_49,https://www.youtube.com/watch?v=WIUTSPUQXB4,"[""00:00:49.000"", ""00:00:59.000""]",WIUTSPUQXB4
10.0,vggsound,WIUTSPUQXB4_70,https://www.youtube.com/watch?v=WIUTSPUQXB4,"[""00:01:10.000"", ""00:01:20.000""]",WIUTSPUQXB4
10.0,vggsound,WIUnkSZRfzQ_141,https://www.youtube.com/watch?v=WIUnkSZRfzQ,"[""00:02:21.000"", ""00:02:31.000""]",WIUnkSZRfzQ
10.0,vggsound,WIUnkSZRfzQ_154,https://www.youtube.com/watch?v=WIUnkSZRfzQ,"[""00:02:34.000"", ""00:02:44.000""]",WIUnkSZRfzQ
10.0,vggsound,WIVIpfRgPLc_354,https://www.youtube.com/watch?v=WIVIpfRgPLc,"[""00:05:54.000"", ""00:06:04.000""]",WIVIpfRgPLc
10.0,vggsound,WIVIpfRgPLc_378,https://www.youtube.com/watch?v=WIVIpfRgPLc,"[""00:06:18.000"", ""00:06:28.000""]",WIVIpfRgPLc
10.0,vggsound,WIVzoesgWlA_1,https://www.youtube.com/watch?v=WIVzoesgWlA,"[""00:00:01.000"", ""00:00:11.000""]",WIVzoesgWlA
10.0,vggsound,WIWRYG4vJC4_20,https://www.youtube.com/watch?v=WIWRYG4vJC4,"[""00:00:20.000"", ""00:00:30.000""]",WIWRYG4vJC4
10.0,vggsound,WIX7kloG-Bo_191,https://www.youtube.com/watch?v=WIX7kloG-Bo,"[""00:03:11.000"", ""00:03:21.000""]",WIX7kloG-Bo
10.0,vggsound,WIZIX4tVCWk_0,https://www.youtube.com/watch?v=WIZIX4tVCWk,"[""00:00:00.000"", ""00:00:10.000""]",WIZIX4tVCWk
10.0,vggsound,WIZTFH-LGpo_1,https://www.youtube.com/watch?v=WIZTFH-LGpo,"[""00:00:01.000"", ""00:00:11.000""]",WIZTFH-LGpo
10.0,vggsound,WIZTFH-LGpo_29,https://www.youtube.com/watch?v=WIZTFH-LGpo,"[""00:00:29.000"", ""00:00:39.000""]",WIZTFH-LGpo
10.0,vggsound,WI_76zVEsLU_295,https://www.youtube.com/watch?v=WI_76zVEsLU,"[""00:04:55.000"", ""00:05:05.000""]",WI_76zVEsLU
10.0,vggsound,WI_76zVEsLU_524,https://www.youtube.com/watch?v=WI_76zVEsLU,"[""00:08:44.000"", ""00:08:54.000""]",WI_76zVEsLU
10.0,vggsound,WIbAkIMeR1o_23,https://www.youtube.com/watch?v=WIbAkIMeR1o,"[""00:00:23.000"", ""00:00:33.000""]",WIbAkIMeR1o
10.0,vggsound,WIbAkIMeR1o_54,https://www.youtube.com/watch?v=WIbAkIMeR1o,"[""00:00:54.000"", ""00:01:04.000""]",WIbAkIMeR1o
10.0,vggsound,WIdgvqSjhjM_30,https://www.youtube.com/watch?v=WIdgvqSjhjM,"[""00:00:30.000"", ""00:00:40.000""]",WIdgvqSjhjM
10.0,vggsound,WIdjXu4dl-0_190,https://www.youtube.com/watch?v=WIdjXu4dl-0,"[""00:03:10.000"", ""00:03:20.000""]",WIdjXu4dl-0
10.0,vggsound,WIfkeydb7DQ_328,https://www.youtube.com/watch?v=WIfkeydb7DQ,"[""00:05:28.000"", ""00:05:38.000""]",WIfkeydb7DQ
10.0,vggsound,WIj66H6hV6w_3,https://www.youtube.com/watch?v=WIj66H6hV6w,"[""00:00:03.000"", ""00:00:13.000""]",WIj66H6hV6w
10.0,vggsound,WImot3K_s1o_0,https://www.youtube.com/watch?v=WImot3K_s1o,"[""00:00:00.000"", ""00:00:10.000""]",WImot3K_s1o
